State,Total Registered Voters,Voter Turnout Percent (2020),Poll Numbers for Harris,Poll Numbers for Trump,Electoral Votes,Margin of Error
AL,1234567,60,45,55,9,3
AK,345678,55,48,52,3,4
AZ,2345678,65,50,50,11,2.5
AR,123456,58,46,54,6,3
CA,7890123,70,60,40,54,1.5
CO,1234567,68,55,45,10,2.5
CT,567890,66,53,47,7,3
DE,234567,64,51,49,3,4
FL,6789012,67,48,52,29,2
GA,3456789,62,50,50,16,2.5
HI,345678,65,55,45,4,4
ID,234567,60,46,54,4,3
IL,5678901,67,53,47,19,2.5
IN,2345678,65,48,52,11,3
IA,1234567,68,51,49,6,3
KS,1234567,63,47,53,6,3
KY,2345678,60,45,55,8,3
LA,1234567,59,46,54,8,3
ME,345678,72,55,45,4,4
MD,2345678,69,60,40,10,2.5
MA,567890,71,57,43,11,2.5
MI,3456789,67,50,50,15,2
MN,2345678,80,52,48,10,2.5
MS,1234567,60,44,56,6,3
MO,3456789,67,48,52,10,2.5
MT,123456,60,47,53,3,4
NE,234567,66,46,54,5,3
NV,1234567,65,49,51,6,2.5
NH,567890,70,52,48,4,3
NJ,6789012,68,54,46,14,2.5
NM,2345678,64,51,49,5,3
NY,7890123,67,57,43,28,1.5
NC,5678901,69,49,51,15,2.5
ND,123456,65,44,56,3,4
OH,3456789,66,48,52,17,2.5
OK,2345678,58,43,57,7,3
OR,1234567,76,58,42,7,2.5
PA,6789012,70,50,50,20,2
RI,345678,66,55,45,4,3
SC,2345678,62,48,52,9,3
SD,123456,64,44,56,3,4
TN,3456789,60,45,55,11,3
TX,12345678,61,47,53,40,2.5
UT,2345678,61,43,57,6,3
VT,567890,74,55,45,3,4
VA,3456789,72,51,49,13,2.5
WA,1234567,75,56,44,12,2.5
WV,2345678,62,42,58,5,4
WI,3456789,72,50,50,10,2.5
WY,123456,65,40,60,3,4
